Origin,AT,BA,BE,BG,CH,CY,CZ,DE,DK,EE,EL,ES,FI,FR,HR,HU,IE,IS,IT,LT,LU,LV,ME,MK,MT,NL,NO,PL,PT,RO,RS,SE,SI,SK,TR
AT,0.0,1305220.0,4331620.0,3558148.0,6230384.0,2700316.0,1252656.0,33571556.0,3350228.0,415408.0,11225560.0,19732188.0,1249800.0,8616908.0,2995580.0,891704.0,1566112.0,563420.0,15729912.0,389464.0,698232.0,1244720.0,1328808.0,1401196.0,1079044.0,7669008.0,1298784.0,4130868.0,2827356.0,4965416.0,2304400.0,3311112.0,804.0,869616.0,11074276.0
BA,1305220.0,0.0,102328.0,3752.0,205688.0,0.0,20.0,3949584.0,397040.0,0.0,84.0,0.0,652.0,645412.0,325964.0,292.0,1364.0,0.0,127632.0,644.0,752.0,0.0,0.0,988.0,2776.0,341452.0,129648.0,101416.0,0.0,412.0,240760.0,971724.0,0.0,0.0,3299476.0
BE,4531180.0,102328.0,0.0,1495696.0,5374336.0,429996.0,2040276.0,9885588.0,2980272.0,294676.0,9160420.0,44424840.0,1790164.0,14010788.0,1847364.0,2765196.0,3390252.0,579816.0,24642148.0,474640.0,9800.0,860776.0,326404.0,392448.0,1205912.0,1475264.0,1777148.0,3885492.0,11270172.0,4957764.0,114992.0,3235516.0,459252.0,313628.0,8237584.0
BG,3543824.0,3752.0,1464812.0,0.0,535076.0,1060944.0,2453892.0,13081640.0,952188.0,113604.0,1325492.0,3525784.0,41768.0,2109136.0,256920.0,667388.0,779968.0,1748.0,5712288.0,157812.0,76720.0,130332.0,5584.0,6240.0,492888.0,2678832.0,402008.0,4923564.0,235520.0,313800.0,155012.0,158652.0,0.0,832716.0,3365496.0
CH,6343632.0,205688.0,5337176.0,816160.0,0.0,1162608.0,2552796.0,28270652.0,5046308.0,322216.0,12816536.0,44687648.0,1972180.0,26656476.0,2757832.0,3737668.0,3494532.0,972272.0,20391320.0,142668.0,984316.0,440592.0,210712.0,1567332.0,1124940.0,11532788.0,1820396.0,3956004.0,20842252.0,2197280.0,3566732.0,4091780.0,461016.0,7712.0,18173872.0
CY,2699444.0,0.0,447108.0,1065640.0,1177424.0,0.0,530696.0,4330880.0,1314884.0,93456.0,12514924.0,46100.0,470904.0,1183104.0,269380.0,1565892.0,240852.0,124.0,1605328.0,435852.0,880.0,429172.0,736.0,28.0,567792.0,927872.0,705172.0,3769572.0,96.0,1437608.0,767556.0,1734776.0,140.0,636804.0,12.0
CZ,1261740.0,20.0,2040488.0,2504336.0,2163980.0,530800.0,0.0,5040444.0,1567192.0,808.0,6559892.0,7840808.0,1103668.0,5923496.0,494948.0,906616.0,1198768.0,195852.0,8868112.0,1680.0,92564.0,684544.0,49248.0,2940.0,198088.0,4069312.0,876252.0,2000920.0,1410468.0,659792.0,217460.0,1048868.0,2848.0,300980.0,6120052.0
DE,33412324.0,3949584.0,9818592.0,13487084.0,28113620.0,4273212.0,5006832.0,0.0,15218612.0,2910120.0,69058296.0,188796380.0,10735096.0,45072136.0,15828932.0,9896348.0,14388636.0,4083236.0,78198420.0,3389424.0,3113344.0,5439664.0,1136808.0,4497304.0,4480528.0,22444024.0,11608568.0,24103800.0,35469052.0,17993856.0,7177260.0,16745676.0,1189188.0,37108.0,139539324.0
DK,3350264.0,397040.0,2981864.0,943052.0,4401804.0,1316440.0,1565924.0,12416544.0,0.0,541500.0,8942468.0,24189320.0,4048428.0,10299516.0,1474164.0,1988416.0,1845988.0,4155140.0,10698048.0,2799084.0,370452.0,1545740.0,80468.0,391644.0,574472.0,12084700.0,16643192.0,6654832.0,3123372.0,1915344.0,373700.0,9053892.0,496.0,259604.0,9639908.0
EE,416160.0,0.0,292552.0,113588.0,324668.0,93168.0,808.0,2933752.0,538004.0,0.0,408844.0,606520.0,2044256.0,679056.0,332.0,0.0,224064.0,124.0,2102168.0,464944.0,0.0,1870468.0,94808.0,0.0,250192.0,605232.0,576736.0,1209456.0,28928.0,1748.0,152.0,1690832.0,0.0,16.0,2000644.0
